"index","bt","k","d","su","sv","p","pet_smd_perc_non_conv","pet_tr_smd_perc_non_conv","peese_smd_perc_non_conv","peese_tr_smd_perc_non_conv","pet_int_smd_perc_z3","pet_int_tr_smd_perc_z3","pet_slope_smd_perc_z3","pet_slope_tr_smd_perc_z3","peese_int_smd_perc_z3","peese_int_tr_smd_perc_z3","peese_slope_smd_perc_z3","peese_slope_tr_smd_perc_z3","corrected_smd_perc_z3","corrected_tr_smd_smd_perc_z3"
108,"pb_no_orb_no",15,0.8,0.11,0.11,"large",0.2,0,0,0,4.31,0.8,4.21,0.8,3.6,0.6,3.5,1.1,4.31,1.1
109,"pb_no_orb_no",30,0,0.01,0.01,"small",0.5,0,0.3,0.4,0.8,0.7,0.8,0.9,0.6,0.6,0.8,0.8,0.7,0.7
110,"pb_no_orb_no",30,0,0.01,0.01,"medium",0.4,0,0,0,0.3,0.3,0.2,0.2,0.4,0.4,0.1,0.3,0.3,0.3
111,"pb_no_orb_no",30,0,0.01,0.01,"large",0,0,0.1,0,0.4,0.4,0.3,0.4,0.6,0.6,0.4,0.5,0.1,0.1
112,"pb_no_orb_no",30,0,0.01,0.06,"small",0,0.3,0,0.4,0.8,0.7,0.7,0.7,0.8,0.6,0.8,1,0.2,0.3
113,"pb_no_orb_no",30,0,0.01,0.06,"medium",0,0,0,0,0.4,0.5,0.3,0.4,0.5,0.7,0.4,0.4,0.5,0.6
114,"pb_no_orb_no",30,0,0.01,0.06,"large",0,0,0,0,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.4,0.2
115,"pb_no_orb_no",30,0,0.01,0.11,"small",0,0.7,0,0.4,0.6,0.81,0.7,0.81,0.7,0.8,0.8,0.8,0.4,0.3
116,"pb_no_orb_no",30,0,0.01,0.11,"medium",0,0.1,0,0.1,0.4,0.5,0.3,0.5,0.6,0.7,0.4,0.4,0.4,0.5
117,"pb_no_orb_no",30,0,0.01,0.11,"large",0,0,0,0.2,0.4,0.4,0.5,0.6,0.6,0.7,0.5,0.6,0.4,0.3
118,"pb_no_orb_no",30,0,0.06,0.01,"small",0,0,0,0,0.4,0.6,0.5,0.5,0.3,0.4,0.6,0.4,0.4,0.4
119,"pb_no_orb_no",30,0,0.06,0.01,"medium",0.1,0,0,0,0.5,0.7,0.3,0.5,0.5,0.4,0.3,0.7,0.4,0.5
120,"pb_no_orb_no",30,0,0.06,0.01,"large",0,0,0.1,0,0.3,0.2,0.6,0.4,0.3,0.3,0.7,0.6,0.2,0.3
121,"pb_no_orb_no",30,0,0.06,0.06,"small",0,0,0,0,0.7,0.9,0.6,0.8,0.8,0.8,0.7,0.8,0.3,0.4
122,"pb_no_orb_no",30,0,0.06,0.06,"medium",0,0,0,0,0.4,0.7,0.4,0.6,0.5,0.6,0.4,0.6,0.5,0.7
123,"pb_no_orb_no",30,0,0.06,0.06,"large",0,0,0,0,0.5,0.5,0.7,0.5,0.4,0.4,0.8,0.7,0.3,0.3
124,"pb_no_orb_no",30,0,0.06,0.11,"small",0,0,0,0,0.7,0.7,0.6,0.7,0.8,0.9,0.6,0.8,0.2,0.5
125,"pb_no_orb_no",30,0,0.06,0.11,"medium",0,0,0,0.1,0.5,0.8,0.4,0.6,0.4,0.6,0.4,0.7,0.3,0.6
126,"pb_no_orb_no",30,0,0.06,0.11,"large",0,0,0,0,0.5,0.6,0.6,0.6,0.5,0.5,0.7,0.7,0.3,0.2
127,"pb_no_orb_no",30,0,0.11,0.01,"small",0,0.1,0,0,0.4,0.5,0.4,0.4,0.2,0.4,0.3,0.4,0.4,0.4
128,"pb_no_orb_no",30,0,0.11,0.01,"medium",0,0,0.1,0,0.5,0.7,0.3,0.8,0.2,0.5,0.3,0.7,0.4,0.5
129,"pb_no_orb_no",30,0,0.11,0.01,"large",0.1,0,0,0,0.4,0.2,0.5,0.5,0.3,0.3,0.6,0.6,0.4,0.4
130,"pb_no_orb_no",30,0,0.11,0.06,"small",0,0,0,0,0.7,0.5,0.4,0.5,0.6,0.6,0.6,0.7,0.2,0.3
